                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8687,                 1.7743,                 2.0914,                0.34561,                0.30784,                0.21959,                0.08119,                 2.1748,                 2.7465,                 2.8445,              0.0018592,              0.0018592,              0.0018592
                     35,                 1.8215,                 1.7234,                 2.0196,                0.37438,                0.27901,                0.23856,                0.09656,                 2.1079,                 2.7666,                 2.8037,              0.0018548,              0.0018548,              0.0018548
                     36,                 1.8438,                 1.6991,                 2.0497,                0.36831,                0.31768,                 0.2995,                0.12819,                 2.0442,                  2.413,                 2.7092,              0.0018504,              0.0018504,              0.0018504
                     37,                 1.7832,                 1.6471,                 2.0032,                0.33019,                0.31215,                0.21898,                0.08765,                 2.0569,                 2.5808,                 2.7024,               0.001846,               0.001846,               0.001846
                     38,                 1.7749,                 1.6595,                 1.9988,                 0.3423,                0.35359,                0.27594,                 0.1059,                 2.1615,                 2.5978,                 2.7983,              0.0018416,              0.0018416,              0.0018416
                     39,                 1.8332,                 1.6381,                 2.0111,                0.38649,                0.36188,                0.32029,                0.12975,                 2.0692,                 2.3707,                 2.7211,              0.0018372,              0.0018372,              0.0018372
                     40,                 1.7821,                 1.6079,                 1.9981,                0.44466,                0.29197,                0.30519,                  0.129,                 2.0532,                 2.5947,                 2.7066,              0.0018328,              0.0018328,              0.0018328
                     41,                 1.7689,                 1.6308,                 1.9937,                0.40287,                 0.3011,                0.26456,                0.11137,                  2.057,                 2.6223,                 2.6631,              0.0018284,              0.0018284,              0.0018284
                     42,                 1.7628,                  1.656,                 1.9897,                 0.3813,                0.32873,                0.30437,                0.12638,                 1.9957,                  2.538,                 2.6445,               0.001824,               0.001824,               0.001824
                     43,                 1.7296,                 1.5687,                 1.9555,                0.43562,                0.38674,                0.32457,                0.14679,                 2.0229,                 2.3266,                 2.6612,              0.0018196,              0.0018196,              0.0018196
                     44,                 1.7115,                  1.541,                 1.9211,                0.49618,                 0.3453,                0.36939,                0.16451,                 1.9496,                 2.3166,                 2.5798,              0.0018152,              0.0018152,              0.0018152
                     45,                  1.763,                 1.5554,                 1.9612,                0.41159,                0.35083,                0.30486,                0.13417,                 1.9896,                 2.4573,                 2.6942,              0.0018108,              0.0018108,              0.0018108
                     46,                 1.7257,                 1.5357,                 1.9312,                0.43861,                0.33425,                0.32087,                0.14132,                 2.0175,                 2.4493,                 2.6594,              0.0018064,              0.0018064,              0.0018064
                     47,                 1.6794,                 1.4733,                 1.9175,                0.41154,                 0.3895,                0.33605,                0.15639,                 1.8834,                 2.3347,                 2.5563,               0.001802,               0.001802,               0.001802
                     48,                 1.7185,                 1.5196,                 1.9176,                0.44225,                0.37017,                0.36535,                0.16714,                 1.9669,                 2.4834,                 2.6274,              0.0017976,              0.0017976,              0.0017976
                     49,                 1.6945,                 1.4883,                  1.915,                0.40536,                0.46513,                0.39747,                0.17087,                 1.9606,                 2.2073,                 2.6023,              0.0017932,              0.0017932,              0.0017932
                     50,                 1.6965,                 1.4946,                 1.9179,                0.50416,                0.37357,                0.40999,                0.18002,                 1.9649,                 2.2102,                 2.6289,              0.0017888,              0.0017888,              0.0017888
